V |                  | HandleShellCompletion.OnBuildCreated (200)
D |          Restore |   Restored /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.Shell/CloudTek.Automation.Shell.csproj (in 339 ms).
D |          Restore | CloudTek.Automation.K8S has output assembly: CloudTek.Automation.K8S
D |          Restore | Restoring CloudTek.Automation.K8S
I |          Restore | > /usr/local/share/dotnet/dotnet restore /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.K8S/CloudTek.Automation.K8S.csproj
D |          Restore |   Determining projects to restore...
D |          Restore |   Restored /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.K8S/CloudTek.Automation.K8S.csproj (in 301 ms).
V |          Restore | Telemetry.OnTargetSucceeded (0)
V |          Restore | Sending TargetSucceeded telemetry event ...
V |          Restore |   build_components         = 
V |          Restore |   build_type               = Project
V |          Restore |   compile_time             = 9
V |          Restore |   config_generators        = 
V |          Restore |   host                     = VSCode
V |          Restore |   num_custom_components    = 0
V |          Restore |   num_custom_extensions    = 0
V |          Restore |   num_partitioned_targets  = 0
V |          Restore |   num_secrets              = 0
V |          Restore |   num_targets              = 8
V |          Restore |   os_architecture          = X64
V |          Restore |   os_platform              = OSX
V |          Restore |   repo_branch              = main
V |          Restore |   repo_commit              = 8a905b
V |          Restore |   repo_provider            = GitHub
V |          Restore |   repo_url                 = 91f146
V |          Restore |   target_current_partition = 1
V |          Restore |   target_duration          = 3
V |          Restore |   target_framework         = .NETCoreApp,Version=v6.0
V |          Restore |   target_name              = Restore
V |          Restore |   target_total_partitions  = 1
V |          Restore |   version_dotnet_sdk       = 6.0.301
V |          Restore |   version_nuke_common      = 6.0.1
V |          Restore |   version_nuke_global_tool = 6.0.1
V |          Restore | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V |          Compile | EventInvoker.OnTargetRunning (-3.4028235E+38)
I |          Compile | > /usr/local/share/dotnet/dotnet build /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.Shell/CloudTek.Automation.Shell.csproj --configuration Debug /property:Version=0.1.0 /property:FileVersion=0.1.0.0 /property:AssemblyVersion=0.1.0.0
D |          Compile | Microsoft (R) Build Engine version 17.2.0+41abc5629 for .NET
D |          Compile | Copyright (C) Microsoft Corporation. All rights reserved.
D |          Compile | 
D |          Compile |   Determining projects to restore...
D |          Compile |   Restored /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.Shell/CloudTek.Automation.Shell.csproj (in 251 ms).
D |          Compile | 
D |          Compile | Build succeeded.
D |          Compile |     0 Warning(s)
D |          Compile |     0 Error(s)
D |          Compile | 
D |          Compile | Time Elapsed 00:00:01.35
I |          Compile | > /usr/local/share/dotnet/dotnet build /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.K8S/CloudTek.Automation.K8S.csproj --configuration Debug /property:Version=0.1.0 /property:FileVersion=0.1.0.0 /property:AssemblyVersion=0.1.0.0
D |          Compile | Microsoft (R) Build Engine version 17.2.0+41abc5629 for .NET
D |          Compile | Copyright (C) Microsoft Corporation. All rights reserved.
D |          Compile | 
D |          Compile |   Determining projects to restore...
D |          Compile |   Restored /Users/mmisztal/Checkout/cloudtek/automation/src/CloudTek.Automation.K8S/CloudTek.Automation.K8S.csproj (in 250 ms).
D |          Compile | 
D |          Compile | Build succeeded.
D |          Compile |     0 Warning(s)
D |          Compile |     0 Error(s)
D |          Compile | 
D |          Compile | Time Elapsed 00:00:01.33
V |          Compile | Telemetry.OnTargetSucceeded (0)
V |          Compile | Sending TargetSucceeded telemetry event ...
V |          Compile |   build_components         = 
V |          Compile |   build_type               = Project
V |          Compile |   compile_time             = 13
V |          Compile |   config_generators        = 
V |          Compile |   host                     = VSCode
V |          Compile |   num_custom_components    = 0
V |          Compile |   num_custom_extensions    = 0
V |          Compile |   num_partitioned_targets  = 0
V |          Compile |   num_secrets              = 0
V |          Compile |   num_targets              = 8
V |          Compile |   os_architecture          = X64
V |          Compile |   os_platform              = OSX
V |          Compile |   repo_branch              = main
V |          Compile |   repo_commit              = 8a905b
V |          Compile |   repo_provider            = GitHub
V |          Compile |   repo_url                 = 91f146
V |          Compile |   target_current_partition = 1
V |          Compile |   target_duration          = 3
V |          Compile |   target_framework         = .NETCoreApp,Version=v6.0
V |          Compile |   target_name              = Compile
V |          Compile |   target_total_partitions  = 1
V |          Compile |   version_dotnet_sdk       = 6.0.301
V |          Compile |   version_nuke_common      = 6.0.1
V |          Compile |   version_nuke_global_tool = 6.0.1
V |          Compile | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
